customer_id,email_received,purchase_made,age,previous_purchases
1,0,0,25,3
2,1,0,58,17
3,1,0,27,18
4,1,0,28,19
5,0,0,35,2
6,0,0,49,0
7,0,0,33,8
8,1,0,37,17
9,1,0,67,15
10,1,0,41,16
11,0,0,37,11
12,1,1,63,0
13,1,0,67,6
14,0,0,19,13
15,0,0,52,19
16,0,0,27,3
17,0,0,55,13
18,1,0,52,14
19,0,0,21,13
20,0,0,69,18
21,1,0,53,15
22,0,0,54,17
23,0,0,60,8
24,0,0,63,12
25,0,0,69,17
26,1,0,26,8
27,0,0,43,1
28,1,1,38,12
29,1,0,43,8
30,0,0,23,1
31,1,0,29,1
32,0,0,20,12
33,0,0,35,1
34,1,0,26,14
35,1,1,56,14
36,1,0,65,9
37,0,0,59,0
38,0,1,49,9
39,1,1,68,13
40,0,0,19,6
41,0,0,63,12
42,0,0,27,14
43,0,0,36,7
44,1,0,24,16
45,0,0,43,8
46,1,0,19,4
47,0,0,46,2
48,1,0,19,17
49,1,0,52,15
50,0,0,43,16
51,1,0,39,0
52,1,0,65,3
53,1,0,22,17
54,1,0,60,4
55,1,0,41,15
56,1,0,51,18
57,0,0,21,19
58,0,0,18,12
59,0,0,42,13
60,0,0,69,16
61,0,1,22,17
62,0,0,51,13
63,1,0,35,15
64,0,0,54,3
65,0,0,29,12
66,1,0,31,1
67,0,0,67,6
68,1,0,56,0
69,0,1,66,1
70,1,0,31,13
71,1,0,61,14
72,0,1,26,2
73,0,0,21,15
74,1,0,59,5
75,1,0,36,16
76,1,0,40,9
77,1,0,63,17
78,0,0,46,15
79,0,0,26,14
80,0,0,42,19
81,1,0,34,10
82,1,1,23,3
83,0,0,53,11
84,0,0,68,19
85,0,0,29,11
86,0,0,41,18
87,1,0,62,19
88,1,0,44,19
89,1,1,32,1
90,0,0,19,9
91,0,0,50,17
92,1,1,65,8
93,1,0,20,15
94,1,0,66,14
95,1,0,60,2
96,0,0,30,10
97,1,0,18,15
98,0,1,46,11
99,0,0,35,4
100,0,0,29,2
101,0,1,38,15
102,1,0,36,12
103,0,0,50,3
104,1,0,57,14
105,1,0,63,2
106,0,1,39,12
107,0,0,47,18
108,1,0,56,8
109,0,1,50,3
110,0,0,22,16
111,0,0,55,11
112,0,0,34,13
113,1,0,27,18
114,1,1,41,17
115,1,0,36,18
116,1,0,65,4
117,1,0,54,16
118,0,0,48,4
119,1,0,64,17
120,1,0,18,17
121,1,0,63,3
122,1,0,54,19
123,0,0,28,16
124,0,0,24,6
125,0,0,44,13
126,0,0,53,18
127,1,0,39,17
128,1,0,60,3
129,0,0,64,6
130,1,1,26,13
131,0,0,60,18
132,0,0,60,0
133,0,0,36,17
134,0,0,27,8
135,1,0,51,10
136,0,0,20,6
137,1,0,35,8
138,1,1,56,8
139,0,0,57,19
140,1,0,22,8
141,1,0,46,11
142,0,0,24,7
143,0,1,67,7
144,0,0,62,2
145,0,0,41,5
146,0,1,60,9
147,1,0,62,9
148,1,0,19,18
149,0,0,68,15
150,0,0,18,9
151,1,0,57,15
152,0,0,55,4
153,0,0,64,7
154,0,0,36,0
155,1,0,69,15
156,0,0,52,15
157,1,0,59,6
158,1,0,19,12
159,0,0,52,9
160,1,0,34,10
161,0,1,56,7
162,1,0,66,13
163,1,0,58,12
164,1,0,56,2
165,0,0,51,6
166,1,0,50,4
167,0,0,58,9
168,0,0,20,1
169,0,0,22,10
170,1,1,42,10
171,1,0,42,1
172,0,0,38,12
173,1,0,24,9
174,0,0,40,6
175,1,0,50,7
176,0,0,33,7
177,1,0,28,6
178,0,0,51,11
179,1,0,38,12
180,0,0,58,12
181,0,0,65,12
182,0,1,59,17
183,1,0,57,9
184,1,0,56,14
185,0,0,37,8
186,1,0,63,10
187,1,0,65,10
188,1,0,58,18
189,1,1,46,8
190,0,0,52,11
191,0,1,45,17
192,1,1,24,5
193,1,0,24,2
194,1,0,58,1
195,0,0,26,5
196,0,0,34,19
