firm_id,firm_size,industry,r_and_d_investment,market_access,subsidy,tech_adoption
1,511,Services,45487.99,Local,TRUE,5.346487712
2,366,Manufacturing,342923.65,Local,TRUE,5.917979502
3,383,Manufacturing,362974.26,National,TRUE,7.640740801
4,323,Manufacturing,280715.4,National,TRUE,7.12218745
5,989,Manufacturing,257431.8,Local,TRUE,5.414277952
6,99,Manufacturing,50532.58,International,TRUE,5.513691726
7,743,Services,294497.07,International,TRUE,7.197512393
8,18,Services,318177.82,Local,TRUE,5.568155345
9,596,Manufacturing,297473.83,International,TRUE,5.587384497
10,107,Services,364123.95,Local,TRUE,5.838071909
11,124,Tech,51350.33,International,FALSE,-0.924152424
12,570,Manufacturing,490468.21,National,TRUE,6.642919781
13,215,Tech,69477.56,National,TRUE,3.737733775
14,738,Manufacturing,64659.32,International,FALSE,1.021022813
15,97,Manufacturing,257844.08,National,TRUE,5.233441809
16,114,Services,228042.63,Local,TRUE,4.888431943
17,639,Manufacturing,99424.92,National,TRUE,5.934100542
18,48,Services,216063.99,Local,TRUE,6.673240904
19,74,Tech,435764.85,Local,TRUE,8.345162709
20,545,Services,380303.76,International,TRUE,6.257131297
21,943,Manufacturing,76791.53,National,TRUE,4.007244478
22,225,Manufacturing,97775.53,National,TRUE,3.917321954
23,112,Tech,280220.6,International,TRUE,7.228262701
24,410,Manufacturing,285537.12,Local,TRUE,7.089846037
25,340,Tech,221428.17,International,TRUE,4.891285507
26,847,Services,186676.87,International,TRUE,4.726260343
27,254,Tech,264143.84,National,TRUE,7.120358989
28,421,Manufacturing,211712.66,Local,TRUE,6.638924129
29,609,Manufacturing,24433.93,Local,TRUE,3.43587009
30,209,Services,36444.1,Local,TRUE,3.728960397
31,69,Tech,67344.43,International,TRUE,3.921292191
32,818,Tech,317950.58,International,FALSE,0.841164434
33,824,Tech,220435.22,International,TRUE,4.879835432
34,452,Manufacturing,73259.57,International,TRUE,3.541120241
35,3,Tech,192101.55,Local,TRUE,6.234873199
36,341,Manufacturing,389269.7,National,TRUE,6.028176072
37,40,Tech,373769.31,Local,TRUE,6.144301237
38,323,Manufacturing,43092.92,Local,TRUE,5.336893137
39,597,Services,356346.31,Local,TRUE,5.929271526
40,560,Services,166707.8,Local,TRUE,4.58353518
41,505,Services,490446.16,International,TRUE,6.849341691
42,958,Tech,86713.2,Local,TRUE,5.859258255
43,177,Manufacturing,110088.97,Local,TRUE,4.30567452
44,136,Tech,247025.3,National,TRUE,6.751213554
45,874,Tech,244139.32,Local,TRUE,6.686006539
46,100,Services,43194.89,National,TRUE,5.539031495
47,381,Tech,266822.68,Local,FALSE,2.315027198
48,861,Services,413618.18,Local,FALSE,1.383408748
49,181,Manufacturing,217432.13,International,FALSE,1.770545218
50,359,Tech,294783.18,National,TRUE,7.383660397
51,866,Services,378619.46,Local,TRUE,5.814189165
52,214,Services,203816.75,International,TRUE,6.599205737
53,631,Tech,238259.52,National,TRUE,6.862235084
54,863,Services,397482.71,Local,TRUE,8.192691748
55,412,Manufacturing,404384.26,International,TRUE,7.969385811
56,291,Tech,91719.12,Local,TRUE,3.919336899
57,994,Manufacturing,387357.18,National,TRUE,5.909341597
58,589,Tech,239982.87,National,FALSE,0.18171898
59,681,Manufacturing,463456.33,International,TRUE,6.552173411
60,900,Services,172087.91,Local,TRUE,4.519409018
61,107,Services,159421.6,National,TRUE,4.341284694
62,838,Services,247269.03,Local,TRUE,5.124825194
63,577,Services,463204.28,National,TRUE,6.692052397
64,844,Services,81093.74,International,TRUE,3.827903689
65,419,Services,343276.96,Local,TRUE,5.544808499
66,827,Manufacturing,405010.37,International,TRUE,8.230588091
67,395,Tech,434971.11,International,TRUE,6.255433431
68,791,Tech,53659.39,National,TRUE,3.777470146
69,718,Manufacturing,341011.89,International,TRUE,5.809338915
70,147,Manufacturing,310076.65,International,TRUE,5.525147285
71,485,Services,329507.91,Local,TRUE,5.450287854
72,272,Services,38225.58,Local,TRUE,3.573173705
73,412,Manufacturing,199053,International,TRUE,4.778310357
74,766,Manufacturing,369282.22,National,TRUE,7.835174649
75,159,Services,76566.91,Local,FALSE,-0.854186589
76,181,Tech,287870.16,International,TRUE,5.612598829
77,583,Manufacturing,21345.68,Local,TRUE,3.569216291
78,366,Services,18553.78,National,TRUE,5.343328917
79,372,Manufacturing,241652.1,National,TRUE,7.106599331
80,155,Services,423610.3,Local,TRUE,7.816224387
81,721,Services,444678.07,Local,TRUE,6.456204939
82,391,Manufacturing,157309.21,International,TRUE,4.295258329
83,783,Manufacturing,469995.34,Local,FALSE,3.749234338
84,256,Manufacturing,298278.85,International,FALSE,0.574137811
85,245,Manufacturing,58370.24,International,TRUE,5.484400953
86,360,Manufacturing,57207.84,Local,TRUE,3.732641569
87,972,Manufacturing,287149.41,National,TRUE,5.343816778
88,951,Manufacturing,380801.95,International,TRUE,5.923652623
89,968,Manufacturing,78162.69,International,TRUE,4.062610224
90,130,Manufacturing,192512.35,Local,FALSE,1.678111296
91,556,Manufacturing,494331.91,Local,TRUE,6.688355057
92,187,Manufacturing,452377.57,National,TRUE,8.170754262
93,358,Services,181977.29,Local,FALSE,-0.274392696
94,696,Services,249331.75,International,TRUE,5.183391826
95,538,Manufacturing,306927.42,Local,TRUE,5.692147532
96,435,Manufacturing,13495.95,International,TRUE,3.564936503
97,981,Manufacturing,40710.97,Local,TRUE,5.375849008
98,825,Tech,331794.14,Local,TRUE,5.593075875
99,306,Services,87968.8,Local,FALSE,1.114197234
100,781,Tech,455929.71,Local,TRUE,6.635037845
101,531,Services,203598.22,National,TRUE,4.771654782
102,466,Tech,240009.56,International,TRUE,5.071535578
103,514,Services,308735.6,National,TRUE,5.357429256
104,52,Tech,412445.01,Local,TRUE,6.26286407
105,941,Tech,245751.74,National,TRUE,4.852831525
106,886,Services,130974.81,Local,TRUE,4.21947958
107,746,Services,207150.06,International,TRUE,4.965648205
